source,target,tgt_lng
claude skills,claude skills,auto
Claude skills,Claude skills,auto
Claude Skills,Claude Skills,auto
agent skills,agent skills,auto
Agent skills,Agent skills,auto
Agent Skills,Agent Skills,auto
code review,code review,auto
Code review,Code review,auto
Code Review,Code Review,auto
tool,tool,auto
tools,tools,auto
Tools,Tools,auto
Tool,Tool,auto
tool calling,tool calling,auto
Tool calling,Tool calling,auto
function calling,function calling,auto
Function calling,Function calling,auto
tool use,tool use,auto
Tool use,Tool use,auto
Tool Use,Tool Use,auto
Prompt Engineering,Prompt Engineering,auto
prompt engineering,prompt engineering,auto
Prompt engineering,Prompt engineering,auto
Context engineering,Context engineering,auto
Context Engineering,Context Engineering,auto
context engineering,context engineering,auto
Prompt,Prompt,auto
Prompting,Prompting,auto
prompting,prompting,auto
prompt,prompt,auto
tokens,tokens,auto
Tokens,Tokens,auto
Token,Token,auto
token,token,auto
Claude code,Claude code,auto
claude code,claude code,auto
Claude Code,Claude Code,auto
Agents,Agents,auto
agents,agents,auto
agent,agent,auto
Agent,Agent,auto
subagent,subagent,auto
subagents,subagents,auto
Subagents,Subagents,auto
Claude Cookbooks,Claude Cookbooks,auto
Claude's Skills,Claude's Skills,auto
Claude Skills,Claude Skills,auto
